#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1498,"Mauvais Garçon","Helena",97,2A,41,2025-11-07,02:42,67,"pop française, chanson, variété française","Hélé",2025-03-14,71,47,4,68,10,10,-8,D#/E♭ Minor,4,0doFYnqgcStWu1Emh8DTVo,FRZ052400421
1499,"Tout a changé (Rien n'a changé)","Helena",84,8B,58,2025-11-07,02:46,68,"pop française, chanson, variété française","Hélé",2025-03-14,46,63,0,37,10,0,-8,C Major,4,2LVLfi56877BcKEPkrUuYZ,FRZ052400442
1500,"Coeur maladroit","Marine",86,12A,69,2025-11-07,02:42,58,"pop française, variété française, chanson","Coeur maladroit",2025-06-27,70,48,0,84,0,0,-6,C♯/D♭ Minor,4,6adxmK6P4PkfsQvq02suYT,FRZ052500183
1501,"les gens qui s'aiment","candeur cyclone",102,9A,44,2025-11-11,03:25,41,"","teenage dirtbag",2024-11-22,70,48,0,20,0,0,-7,E Minor,3,1CF7c1TrGolpokpXvf00sw,TCAIZ2440333
1502,"Bienvenue","Elodie Gervaise",75,8B,45,2025-11-12,03:34,33,"","Syzygy",2021-10-15,57,23,68,8,0,10,-11,C Major,4,3Ni8SFnxMgWW0wEEV6h8K2,FRIDO2112811
1503,"Réverbère","Romain Muller",100,1A,75,2025-11-16,03:13,17,"pop française, pop française indie","Parallèle",2021-04-21,57,37,7,59,0,30,-9,G#/A♭ Minor,4,4Rxa9Z1A1iLU8SOQdeekeD,NL1AP2019219
1504,"aime-moi.","Axel Enderlin",106,10A,18,2025-11-16,03:11,22,"pop française indie","aime-moi.",2023-01-13,69,85,3,14,0,0,-16,B Minor,3,6Vqe5IMZyHFVbOeCgzXYY8,SE66N2297763
1505,"Dénouement (avec l'amoureux)","Solann",146,12A,39,2025-11-16,03:14,46,"pop française, variété française","Si on sombre ce sera beau (promis)",2025-11-14,56,78,0,26,0,10,-11,C♯/D♭ Minor,4,4H84GUA9i5qTGc9yRVTB1b,FR6F32502470
1506,"Lunaire","Nino Vella",114,10A,39,2025-11-18,02:36,22,"","Plage des bigorneaux",2025-09-12,53,91,3,27,0,20,-12,B Minor,5,74wiTBGASmJ1gypgxfIa62,FR9W12472703
1507,"pour un flirt.","Axel Enderlin",125,6B,17,2025-11-20,03:11,36,"pop française indie","la fille nue.",2020-05-28,61,95,0,14,0,30,-16,A#/B♭ Major,4,2wbpJdFnnlnVRaCoS33r1H,QZH5E2016356
1508,"invisible","billie",105,11B,54,2025-11-23,02:39,18,"pop française, pop française indie","invisible",2025-11-05,51,50,3,28,0,10,-9,A Major,4,0FC9BRYWbLzJTliCxcPZYA,FRETL2500010
1509,"poupée de glace","Apple Echoess,Zorro Loco",107,1B,46,2025-11-23,03:31,19,"","poupée de glace",2025-09-08,50,50,0,16,10,10,-12,B Major,4,64U1ZBXVIbP4JNW83q0ZFq,QZZ7R2558084
1510,"Allumette","MargauxRZ",100,7A,29,2025-11-23,04:04,3,"","Allumette",2024-07-05,75,21,0,5,0,0,-11,D Minor,4,0mTDBXdJjmJE1Wkk5TooyN,TCAIK2450371
1511,"La nuit - solo","Billie Bird",84,10A,28,2025-11-23,03:14,36,"","La nuit (solo)",2024-08-30,44,43,0,20,0,10,-10,B Minor,4,2c9Wzx84ONIBmV5fzHEnGh,CH4132400197
1512,"Devant chez toi","Jimmy Hunt",152,10A,59,2025-11-24,04:01,35,"musique indie québécoise, chanson québécoise","Maladie d'amour",2013-10-01,29,3,28,15,0,10,-10,B Minor,4,2Iod38SFiPnkEhLu074qeU,CAD431393310
1513,"Violette","Manon Lisa",140,3B,38,2025-11-24,02:41,37,"","Violette",2024-11-29,73,60,1,71,10,0,-12,C♯/D♭ Major,4,7smDg0K71zHvU7w0qRiUOG,FR9W12416808
1514,"Insolation","Manon Lisa",87,10B,54,2025-11-24,02:54,44,"","Insolation",2024-05-29,78,64,0,50,30,10,-9,D Major,4,6nq8djOsXo8wr8vl1eKeIH,FR9W12416807
1515,"Prière pour pleurer","Barbara Pravi,Silly Boy Blue",115,3B,23,2025-11-24,02:54,34,"chanson, pop française, pop française indie","Les prières - racines",2021-11-26,67,86,14,30,0,10,-13,C♯/D♭ Major,4,0ZLgrztXcLNReSCDNqtBxE,FRUM72102171
1516,"L'odeur des joints","Hollydays",106,3A,50,2025-11-26,03:32,37,"pop française indie, pop française, house française","Hollywood Bizarre",2018-11-02,66,25,1,30,0,0,-7,A#/B♭ Minor,4,57c8Is85sPYo90OSyXemDW,FRUM71702068
