Artist,Album
"Jeanne Moreau,Marguerite Duras",Chanson française
"Jeanne Moreau,Yves Duteil",Entre elles et moi
JeanneTo,Réveillée
Jeremie Whistler,Flakes
Jessé Garon',Lucky Dom Dom
Jimmy Hunt,Maladie d'amour
"Joachim Pastor,Florence Bird",Wayfaring Stranger Radio Edit (feat. Florence Bird)
Joanna,WHERE’S THE LIGHT ?
Joe Dassin,Joe
Joe Dassin,Joe Dassin
Joe Dassin,Joe Dassin Éternel...
Joe Dassin,Le Jardin Du Luxembourg
Joe Dassin,Les Champs-Elysées
Joe Dassin,Les Femmes De Ma Vie
Joe Dassin,Une Heure Avec Joe Dassin - Vol. 2
Joe la panic,Happy hour
Johnny Hallyday,"Souvenirs, Souvenirs"
Johnny Jane,Attitude(s)
Jonatan Cerrada,Siempre 23
Joris Delacroix,Maeva's
"Joris Delacroix,Greg Delon",Dumb & Clyde
"Joseph Chedid,Micky Green",Hey Friend !
Josman,J.O.$
Joséphine Baker,50 Super Hits
Joyce Jonathan,Sur Mes Gardes
Julie Bataille,"Chantez, Chantez, Pinkish"
Julie Bataille,Vive les années 70 (Tout le bonheur des 70's)
Julien Clerc,A Rendez-Vous With Julien Clerc
Julien Clerc,Aimer
Julien Clerc,Inédits 68-97
Julien Clerc,Je t'aime etc
Julien Clerc,N°7
"Julien Doré,Micky Green",LØVE
Juliette,J'aime pas la chanson
Juliette Gréco,Deshabillez-Moi
Juliette Gréco,L'essentielle
Juliette Gréco,No. 8
Juliette Gréco,N°6 - 10 ans de chansons
"Juliette Magnevasoa,Blundetto",Dis (Blundetto version)
Junior Family,Le top français des années 90 (100 titres)
Juniore,"Un, Deux, Trois"
"Jérémie Arcache,Christophe Musset",Retour à Séoul (Original Motion Picture Soundtrack)
KINO,"Hello Kader, Kader Algérie"
KIZ,Des tours
"KIZ,Camille Esteban",Nous deux
KLON,Nouveau Genre
Kaolin,Mélanger les couleurs
Karpatt,Sur le quai
Kat Onoma,Far from the pictures
Kavinsky,OutRun
"Kemmler,Mosimann",&MOI
Kinkead,Henri & Simon
"Kinkead,Julyan",Henri & Simon
Klô Pelgag,Notre-Dame-des-Sept-Douleurs
Kolinga,Earthquake
L (Raphaële Lannadère),Initiale
LE NOISEUR,Summer Slow 88
LUCKY LOVE,J'VEUX D'LA TENDRESSE
La Belle Bleue,Morceaux de papier
La Belle Vie,Mauvaises habitudes
La Chanson Du Dimanche,Angela (La chanson du dimanche S05E12)
La Chanson Du Dimanche,Bundle 5 Titres
La Chanson Du Dimanche,Plante Un Arbre
La Grande Sophie,Des Vagues Et Des Ruisseaux
"La Rue Kétanou,Yolande Moreau",La bête
Laura Cahen,La complainte du soleil (extrait de la BO de  J'ai perdu mon corps )
Laurent Garnier,Unreasonable Behaviour
"Laurent Garnier feat. The L.B.S. Crew,Laurent Garnier,The L.B.S Crew",Timeless
"Laurent Voulzy,Alain Souchon",La Belle Epoque (Original Motion Picture Soundtrack)
Laurie Darmon,Mesure seconde
Laurie Destal,Vidal Benjamin présente Disco Sympathie
Le Couleur,Concorde
Le Couleur,Voyage Love EP
"Leonie Evans,Ophelie Luminati,Bots Leonard,Quentin Bardi,Pierre Jean Meric,Nicolas Laroza","Collaborations, Vol. 2"
"Les Chats Sauvages,Dick Rivers",Est-ce que tu le sais ? (avec Dick Rivers)
Les Chauds Lapins,Amourettes
Les Chaussettes Noires,Long Box 3 CD
Les Fils du Calvaire,Fils de...
Les Fils du Facteur,Jusqu'ici ça va
Les Hurlements d'Léo,13 ans de caravaning
"Les Négresses Vertes,Massive Attack",10 Remixes 87-93
Les Parisiennes,Il Fait Trop Beau Pour Travailler
Les Pythons de la Fournaise,Tout z'etoil
Les Rois de la Suède,"Best Of , Vol. 1"
Les Rois de la Suède,Néon futur
Les Wampas,Sauvre le monde
Les Wriggles,Tant pis! Tant mieux!
Les Yeux D'La Tête,Danser sur les toits
Les clopes,Les clopes
Les marins de Ti-Breizh,Chants de mer et de marins (Les plus belles chansons)
Leslie Medina,VENISE
Lewis OfMan,Je pense à toi
Lilicub,Lilicub
"Lindolfo Gargiulo,Lonepsi",Au bord du temps
Lior Shoov,Lior Shoov
Lisa Ducasse,Qui sont
Lisa Mélissa & The Mess,Je broie du noir
Lisa Pariente,Ruelle sombre
Lisa Portelli,ABSENS
"Lithium,C.Cole,Sheldon,Waxx",LES APACHES
"Lithium,Waxx,C.Cole,Georgio,Adé",LITHIUM
Lize,Folle
Lize,Reines
Lola Le Lann,Soleil
Lonely Drifter Karen,La Chouette
Lou Doillon,"Alexandrie, Alexandra"
"Louis Garrel,Ludivine Sagnier,Clotilde Hesme",BO
Louis-Charles,LOUIS-CHARLES II
Louis-Jean Cormier,Quand la nuit tombe
Louise Attaque,Du Monde Tout Autour
Lous and The Yakuza,IOTA
"Loïc Lantoine,The Very Big Experimental Toubifri Orchestra",Nous
Lubiana,Terre Rouge
Luidji,Pour deux âmes solitaires (Part.1)
"Luidji,Ryan Koffi",Saison 00
Lulu Van Trapp,I'm Not Here to Save the World
Lush Life,Anthems: Holiday
"Lydia Képinski,Les Louanges",J'aime quand on danse (tes mains sur mes hanches)
"Léo Delibes,Orchestre Philharmonique de Bruxelles,Ronan Maillard,Sarah Bloch,Fanny Crouet",Marguerite
Léo Ferré,50 Plus Belles Chansons
MAI LAN,Le Loup
MC Solaar,Mach 6
MC Solaar,"Magnum 567 (Pack contenant 3 albums de MC Solaar : Cinquième As, Mach 6 et Chapitre 7)"
MDNS,LA FAUTE À QUI!
MPL,L'inverse du coup de foudre
MPL,L'étoile
MPL,LU7
MPL,Ma pauvre Lucette
Made in Taiwan,Plastic Lights
"Madeon,Dan Smith",Adventure (Deluxe)
"Madeon,Kyan",Adventure (Deluxe)
Maeva Kane,Maeva Kane
Magali Noël,Rock And Roll
Malaka,Malaka maï
Malik Djoudi,Vivant
"Malory,Yseult",Métropole Blues
Mamani Keïta,Gagner l'argent français
Manon Lisa,Insolation
Manon Lisa,Violette
Marble Sounds,Tautou
Marc Lavoine,Best Of 85-95
Marc Lavoine,L'Heure D'Eté
Marcel Duval Et Son Orchestre,Chansons Paillardes
Marcel Zanini,Tu veux ou tu veux pas ?
Marcel et son Orchestre,Crâne pas t'es chauve
MargauxRZ,Allumette
Marie Benoliel,Embrasse-moi
Marie Benoliel,Je veux rire
Marie Céleste,2 goélands
Marine,Coeur maladroit
"Marion Rampal,Piers Faccini",Tissé
Marlene Dietrich,The Essential Marlene Dietrich
"Marlon Magnée,La Femme",Plus fort que toi
Martin Luminet,DEUIL(S)
Marvin Jouno,Sur Mars
Mathieu Boogaerts,Michel
Mathieu Bérubé,COUCOU
Mathieu Des Longchamps,Le vert et le bleu
"Mathilde Fernandez,ascendant vierge",Faire et refaire (piano voix)
Matiu,Indian Time
"Mattyeux,Princess Chelsea,Videoclub",Mirages
Matéo Langlois,Décoder les cases
Mauvais Œil,Constantine
Max Ransay,Coeur D'Un Homme
Maxime Le Forestier,CD Story
Maya Kamaty,SOVAZ (Deluxe Edition)
Mayfly,HIDEAWAY Vol. I
Mecano,Descanso Dominical/Une Femme Avec Une Femme
Melida,Coffeeshop
Merlot,Chansons D'amour... Et De Haine
Mesparrow,L'essence vagabonde
Michel,C'Est Michel
Michel Berger,D'autres filles
Michel Fugain & Le Big Bazar,"Michel Fugain, les Années Big Bazar"
"Michel Legrand,Agnes Varda,Corinne Marchand",Cléo de 5 à 7 – EP
"Michel Legrand,Corinne Marchand",Cléo de 5 à 7 (Bande originale du film)
"Michel Piccoli,Philippe Sarde,Romy Schneider",Les Choses De La Vie (Original Motion Picture Soundtrack)
Mickey 3d,Live À Saint-Etienne
Mickey 3d,Tu Vas Pas Mourir De Rire
Miel De Montagne,Miel de Montagne
Miel De Montagne,Ouin Ouin
"Miel De Montagne,Kazy Lambist",Toxic Sunny Delight
"Miel De Montagne,Philippe Katerine",Tout Autour De Nous
Mike Brant,20 Chansons D'or
Milla,Courbes
Minuit,Vertigo
"Minuit,Kazy Lambist",Paris Tropical (Kazy Lambist Remix)
Mister Mat,Désespérément optimiste
Moera June,TOPIC
Monsieur Roux,Ah Si J'Etais Grand Et Beau…
Monty,Monty Tendres Années 60
Morgan,Rage
Mou,Bijoux d'amour
Mou,Nirvanana
"Mou,Philippe Katerine",Mon anniversaire
Mouloudji,Comme un p'tit coquelicot
Mouloudji,"L'amour, l'amour, l'amour - Le meilleur de Mouloudji"
Moussu T E Lei Jovents,Putan de cançon
Mouton Noir,La Madrague (Mouton Noir edit)
Moziimo,Je voudrais être un fleuve
"Mr GISCARD,Mathieu Boogaerts",Polka (feat. Mathieu Boogaerts)
Mr. Oizo,Flat Beat
Mundo Prestigio,La Maison du Bonheur
Mustang,Memento Mori
"Mychael Danna,Jessica Rose Weiss",No Hard Feelings (Original Motion Picture Soundtrack)
Myra,T PAS SI BO
Myra,amour terrible
Mélo Lauret,le moment présent
NALLA,Brutally Honest
