Artist_A_rechercher,Artist_Possede,Artist_sim,Album_A_rechercher,Album_Possede,Album_sim,Liste_albums_pos,Path_Possede
Charles Aznavour,Charles Aznavour,100,Entre deux rêves (Remastered 2014),CD5 I Que C'est Triste Venise N° 05,44,"CD1 I Aznavour- Les Années Barclay 1960-1983 N° 01 (Les Deux Guitares - Je M'Voyais Déjà - Il Faut Savoir) - CD10 I Idiote Je T'aime... - Visages De L'amour - CD11 I Hier...Encore - Voilà Que Tu Reviens - CD12 I Je N'ai Pas Vu Le Temps Passer... - Un Enfant Est Né - CD13 I Autobiographie - Je Fais Comme Si - CD14 I Une Première Danse - Charles Chante Aznavour & Dimey - CD15 I Charles Aznavour Chante En Anglais - CD16 I Charles Aznavour Chante En Italien - CD17 I Aznavour Canta En Espagnol - CD18 I Charles Aznavour Chante En Allemand - CD19 I Azanavour - World Of - CD2 I Aznavour- Les Années Barclay 1960-1983 N° 02 (Alléluia - Qui -) - CD20 I Live In Tokyo - CD3 I Intégrale - N° 03 Charles Aznavour - CD4 I Aznavour- Les Années Barclay 1960-1983 N° 04 Vol2 Et Vol 3 - CD5 I Que C'est Triste Venise N° 05 - CD6 I La Bohème - CD7 I Vol N°4 - CD8 I DÉSORMAIS Į - CD9 I NON, JE N'AI RIEN OUBLIÉ I",/mnt/m/musiques/__Autres/Charles Aznavour/CD5 I Que C'est Triste Venise N° 05
Jean-Luc Lahaye,Jenia Lubich,59,Le Meilleur De Jean-Luc Lahaye,,0,,
Lilicub,Lili Em,57,Lilicub,,0,,
Carlos,Carla,73,tout nu tout bronze,,0,,
Carlos,Carla,73,La fête avec Carlos,,0,,
Philippe Chany & Les Nuls,Annie Philippe,65,Les Nuls - La Cité de la Peur (Une comédie familiale),,0,,
Charlotte Marin,Charlotte Gainsbourg,74,Trentenaire A Vif,,0,,
Oldelaf et Monsieur D.,Of Monsters and Men,65,L'Album de la maturité,,0,,
Oldelaf et Monsieur D.,Of Monsters and Men,65,L'intégrale,,0,,
La Chanson Du Dimanche,La Chanson du Dimanche,100,Angela (La chanson du dimanche S05E12),2007 Saison 1 - Plante un arbre,23,2007 Saison 1 - Plante un arbre - 2008 Saison 2 - 2009 Saison 3 - 2010 Saison 4,/mnt/m/musiques/__Autres/La Chanson du Dimanche/2007 Saison 1 - Plante un arbre
Yves Montand,Yves Montand,100,Yves Montand,100e Anniversaire Philips In English & For Movies,24,100e Anniversaire Philips 1945-1948 - 100e Anniversaire Philips 1948-1950 - 100e Anniversaire Philips 1950-1952 - 100e Anniversaire Philips 1953-1955 - 100e Anniversaire Philips 1955-1957 - 100e Anniversaire Philips 1958-1960 - 100e Anniversaire Philips 1961-1962 - 100e Anniversaire Philips 1962-1964 - 100e Anniversaire Philips 1964-1968 - 100e Anniversaire Philips 1978-1989 - 100e Anniversaire Philips En public - 100e Anniversaire Philips In English & For Movies,/mnt/m/musiques/__Autres/Yves Montand/100e Anniversaire Philips In English & For Movies
Anne Sylvestre,Anne Sylvestre,100,Les pierres dans mon jardin / Une sorcière comme les autres,J'ai De Bonnes Nouvelles,35,J'ai De Bonnes Nouvelles - Mousse,/mnt/m/musiques/__Autres/Anne Sylvestre/J'ai De Bonnes Nouvelles
Marlene Dietrich,Death Machine,62,The Essential Marlene Dietrich,,0,,
Les Rois de la Suède,La Grande Sophie,56,Néon futur,,0,,
La Chanson Du Dimanche,La Chanson du Dimanche,100,Plante Un Arbre,2007 Saison 1 - Plante un arbre,68,2007 Saison 1 - Plante un arbre - 2008 Saison 2 - 2009 Saison 3 - 2010 Saison 4,/mnt/m/musiques/__Autres/La Chanson du Dimanche/2007 Saison 1 - Plante un arbre
Romare,Romane,83,Love Songs: Part Two,,0,,
Canari,Anri,80,Désamorceur,,0,,
"Anoraak,Sarah Maison",Anoraak,100,Gang,Golden Hour,27,Golden Hour,/mnt/m/musiques/__Autres/Anoraak/Golden Hour
Deportivo,Portico,75,Parmi Eux,,0,,
Bertrand Belin,Bertrand Belin,100,Les 50 ans de Saravah,Cap Waller,32,Cap Waller - Hypernuit - La Perdue - Parcs - Tambour Vision,/mnt/m/musiques/__Autres/Bertrand Belin/Cap Waller
Camille,Cibelle,71,OUÏ,,0,,
Ayreon,Aaron,73,The Human Equation,,0,,
Baptiste W. Hamon,Julia Jean-Baptiste,69,"Soleil, soleil bleu",,0,,
Aquaserge,George Bruns,57,Si tu t'en vas,,0,,
Bonnie Banane,Lonnie Donegan,67,La Lune & Le Soleil,,0,,
Terrenoire,Trovaire,67,Les Forces Contraires,,0,,
Tallisker,Talisco,62,DÉSIR,,0,,
"Malory,Yseult",Malo',80,Métropole Blues,,0,,
Mecano,CAN,67,Descanso Dominical/Une Femme Avec Une Femme,,0,,
The Rebels Of Tijuana,The Real Thing,63,Asile,,0,,
Rocé,Rone,75,Identité en crescendo,,0,,
Cabadzi,Cabadzi,100,Cabadzi x Blier,Des angles et des épines,31,Des angles et des épines,/mnt/m/musiques/__Autres/Cabadzi/Des angles et des épines
Laura Cahen,Laura Cahen,100,La complainte du soleil (extrait de la BO de  J'ai perdu mon corps ),De l'autre côté,42,De l'autre côté - Des Filles - Le printemps - Nord - Une Fille,/mnt/m/musiques/__Autres/Laura Cahen/De l'autre côté
P.R2B,Herb Alpert,50,La chanson du bal,,0,,
Mathieu Boogaerts,Mathieu Boogaerts,100,Michel,Promeneur,27,En Anglais - J'en Ai Marre D'Être Deux - Promeneur,/mnt/m/musiques/__Autres/Mathieu Boogaerts/Promeneur
Nino Ferrer,Frenic,59,Nino Ferrer,,0,,
Nino Ferrer,Frenic,59,La Carmencita-Ex Libris,,0,,
Serge Reggiani,Adrián Berenguer,60,Et puis,,0,,
Delgres,Dolores,71,Mo Jodi,,0,,
The Architect,The Apartments,67,Une plage sur la lune,,0,,
Arthur H,Arthur Satàn,70,Amour chien fou (Édition deluxe),,0,,
"Michel Piccoli,Philippe Sarde,Romy Schneider",Nicolas Michaux,62,Les Choses De La Vie (Original Motion Picture Soundtrack),,0,,
Kat Onoma,Bloom Bat,67,Far from the pictures,,0,,
Yves Simon,Yves Simon,100,Raconte-Toi,1973-77 The Best Of,20,1973-77 The Best Of - Best Of... Vol. 2-1978-85,/mnt/m/musiques/__Autres/Yves Simon/1973-77 The Best Of
"Gaël Faye,Melissa Laveaux",France Gall,70,Lundi Méchant,,0,,
Rodolphe Burger,Sophie Hunger,64,Environs,,0,,
Mauvais Œil,Malaimé Soleil,69,Constantine,,0,,
Louis-Jean Cormier,Louis Armstrong,61,Quand la nuit tombe,,0,,
Regine,Corine,67,Gainsbourg Fait Chanter Régine,,0,,
"Serge Gainsbourg,Jane Birkin",Serge Gainsbourg,100,Comic Strip,Intégrale - Confidentiel,36,Gainsbourg London Paris 1963 - 1971 - Intégrale - Archives télé radio - Intégrale - Aux armes et caetera - Intégrale - Cinéma Instrumentaux (1959 - 1986 - 2011) - Intégrale - Confidentiel - Intégrale - Du chant à la une - Intégrale - Histoire de melody nelson - Intégrale - Initial b.b - Intégrale - Jane Birkin et Serge Gainsbourg - Intégrale - L'Homme A Tête De Chou - Intégrale - Love on the beat - Intégrale - Mauvaises nouvelles des étoiles - Intégrale - N° 3 L'étonnant Serge Gainsbourg - Intégrale - N° 4 - Intégrale - N°2 - Intégrale - Percussions - Intégrale - Rock Around The Bunker - Intégrale - Single Et Duos (1975 - 1986 - 2011) - Intégrale - Vu De L'Exterieur - Intégrale - You're under arrest - Intégrale - inéma - London Paris 1963 - 1971,/mnt/m/musiques/__Autres/Serge Gainsbourg/Intégrale - Confidentiel
Serge Gainsbourg,Serge Gainsbourg,100,Initials B.B.,Intégrale - Initial b.b,67,Gainsbourg London Paris 1963 - 1971 - Intégrale - Archives télé radio - Intégrale - Aux armes et caetera - Intégrale - Cinéma Instrumentaux (1959 - 1986 - 2011) - Intégrale - Confidentiel - Intégrale - Du chant à la une - Intégrale - Histoire de melody nelson - Intégrale - Initial b.b - Intégrale - Jane Birkin et Serge Gainsbourg - Intégrale - L'Homme A Tête De Chou - Intégrale - Love on the beat - Intégrale - Mauvaises nouvelles des étoiles - Intégrale - N° 3 L'étonnant Serge Gainsbourg - Intégrale - N° 4 - Intégrale - N°2 - Intégrale - Percussions - Intégrale - Rock Around The Bunker - Intégrale - Single Et Duos (1975 - 1986 - 2011) - Intégrale - Vu De L'Exterieur - Intégrale - You're under arrest - Intégrale - inéma - London Paris 1963 - 1971,/mnt/m/musiques/__Autres/Serge Gainsbourg/Intégrale - Initial b.b
